0,0,0
0,0,0
120,180,240
240,0,0
900,1380,2280
15,15,15
0,0,0
660,750,870
0,0,0
360,0,780
1890,6030,12390
420,480,630
2250,0,0
300,420,630
330,570,1440
900,1320,1890
360,450,780
0,0,0
1470,2370,3270
0,0,0
0,0,0
150,210,420
0,0,0
390,390,420
360,0,0
0,0,0
360,630,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
870,1110,2280
300,0,0
0,0,0
0,0,0
840,0,0
660,870,3450
0,0,0
0,0,0
0,0,0
0,540,570
690,2790,7980
2550,3630,5430
0,0,0
0,0,0
960,0,0
0,0,0
0,0,0
0,0,0
480,0,660
0,0,0
0,0,0
0,0,0
180,180,300
120,0,150
3480,6150,0
120,120,0
0,0,0
840,1350,2520
0,0,0
180,180,210
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
540,990,0
0,0,0
210,0,0
0,0,0
60,120,180
0,0,0
120,180,240
120,0,0
0,0,0
150,0,0
0,0,0
180,0,420
0,0,0
0,0,0
0,0,0
540,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
180,0,0
0,0,0
0,0,0
0,0,0
90,0,0
0,0,90
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1140,0
0,0,0
240,270,360
0,0,0
0,0,0
0,0,0
300,420,930
60,0,330
0,0,0
780,0,0
600,720,720
150,0,0
60,60,60
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
90,210,0
0,0,0
45,60,60
0,0,0
420,0,0
660,780,1020
120,0,0
0,0,0
2160,3900,4290
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
360,510,660
0,0,0
0,0,0
210,360,600
0,0,0
120,300,420
0,0,0
630,840,1020
180,0,660
240,300,390
0,0,0
0,0,510
120,120,120
510,0,0
0,0,0
0,0,0
240,690,1260
0,0,0
510,510,510
300,480,570
0,240,0
420,0,540
0,0,0
150,330,570
0,0,0
120,180,0
540,840,1560
0,0,0
150,180,0
450,630,0
0,0,0
420,780,1140
0,0,0
0,0,0
390,570,1500
0,1830,0
840,1380,1500
720,780,960
480,0,600
0,1260,0
0,0,0
