False,Action,0,0,0
False,Action,0,0,0
True,Indie,1320,1980,0
True,Simulation,0,0,0
True,Strategy,660,0,30000
True,Action,660,870,1320
True,Racing,240,0,0
True,Casual,300,0,1560
True,Action,600,660,1110
True,Strategy,0,0,0
True,RPG,0,0,0
True,Adventure,0,1710,0
True,Action,60,0,90
True,Action,1020,1380,1650
True,Action,1320,1380,1410
True,RPG,0,0,0
True,Racing,0,0,0
True,Action,330,510,840
True,RPG,1410,2010,3150
True,Action,60,60,180
True,Strategy,1590,2430,3420
True,Unknown,0,0,0
True,Unknown,240,0,0
True,Unknown,0,0,480
True,Strategy,1590,2490,3180
True,Action,870,1530,2520
True,Strategy,0,0,0
True,Simulation,0,0,2250
True,Racing,840,1440,2280
True,Strategy,1440,0,0
True,Action,330,360,450
True,Action,360,420,1080
True,Adventure,660,690,720
True,Action,3060,4710,8460
True,Unknown,0,0,0
True,Indie,0,0,0
True,Action,390,0,600
True,Adventure,330,330,330
True,Action,120,210,0
True,Adventure,240,330,420
True,Action,270,0,0
True,Strategy,0,0,0
True,Indie,300,420,630
True,Adventure,0,0,0
True,Action,0,0,0
True,RPG,15000,0,0
True,Action,0,0,0
True,RPG,0,0,0
True,Casual,0,0,0
True,Indie,0,0,210
True,Casual,0,0,0
True,Indie,0,0,0
True,Action,120,180,180
True,Action,0,0,0
True,Action,300,0,0
True,Simulation,0,0,0
True,Adventure,780,1320,1860
True,Action,0,0,0
True,Indie,30,45,60
True,Action,510,600,840
True,Action,180,0,0
True,Action,0,0,0
True,Adventure,870,930,930
True,Unknown,330,0,630
True,Casual,120,0,180
True,Action,0,0,0
True,Action,0,0,0
True,Action,0,0,0
True,Indie,0,0,0
True,Action,0,0,300
True,Action,150,210,0
True,Adventure,0,0,0
True,Strategy,0,0,0
True,Adventure,0,0,0
True,Action,90,360,1110
True,Indie,0,0,0
True,Action,0,0,0
True,Action,0,0,0
True,Adventure,60,0,0
True,Action,240,0,0
True,Adventure,0,0,0
True,Adventure,0,0,420
True,Action,2580,0,0
True,Adventure,120,0,0
True,Casual,0,0,0
True,Adventure,0,0,270
True,Strategy,0,0,0
True,Action,0,0,0
True,Action,0,0,0
True,Adventure,0,510,0
True,Action,0,0,0
True,Adventure,0,0,0
True,Action,0,0,0
True,Adventure,210,0,0
True,RPG,0,0,0
True,Casual,0,0,0
True,Racing,0,0,0
True,Action,0,0,0
True,Action,0,0,0
True,Adventure,150,180,210
True,Adventure,60,90,150
True,Indie,0,0,0
True,Indie,0,0,0
True,Adventure,0,0,0
True,Adventure,0,0,0
True,Action,0,0,0
True,Casual,0,0,0
True,Casual,0,0,0
True,Casual,0,0,0
True,Indie,0,0,0
True,Indie,360,0,540
True,Indie,210,540,990
True,Action,0,0,0
True,Indie,0,0,0
True,Action,60,120,210
True,Adventure,60,0,0
True,Simulation,0,0,0
True,Racing,0,0,0
True,Indie,0,0,0
True,Adventure,120,240,330
True,Action,0,0,0
True,Adventure,390,630,870
True,Adventure,0,360,0
True,Action,60,240,0
True,Action,0,0,0
True,Indie,0,420,0
True,Adventure,0,0,0
True,Action,0,0,0
True,Adventure,990,0,1380
True,Simulation,0,0,0
True,Action,0,0,0
True,Action,570,720,960
True,Action,0,0,0
True,Simulation,0,0,0
True,Action,150,0,330
True,Adventure,0,0,0
True,Action,360,480,570
True,Adventure,570,0,840
True,Action,60,120,150
True,Strategy,0,0,0
True,Strategy,0,0,0
True,Adventure,0,0,0
True,Adventure,120,150,180
True,Action,180,180,0
True,Action,0,0,0
True,Adventure,150,150,180
True,Action,1110,2010,3210
True,Action,720,0,720
True,Action,930,1740,3000
True,Action,0,0,0
True,Simulation,0,0,0
True,Adventure,0,0,0
True,Strategy,0,0,0
True,Indie,660,810,1410
True,Indie,1080,1410,2160
True,Action,180,300,0
True,Action,360,510,720
True,Strategy,600,930,1140
